Backup ;Копия одного или нескольких файлов, созданных в качестве альтернативных в случае потери исходных данных или невозможности их использования
Debugging ;Поиск и исправление ошибок в программе
Encoding ;Процесс преобразования данных из одной формы в другую, кодирование
Backdoor;Вредоносная программа, а иногда намеренно оставленная лазейка в коде легальной программы, которая предоставляет доступ к устройству для несанкционированных действий
Backend;Внутренняя часть продукта, которая находится на сервере и скрыта от пользователей
CamelCase;Стиль написания составных слов, при котором несколько слов пишутся слитно без пробелов, при этом каждое слово внутри фразы пишется с прописной буквы
Database;База данных
Plug-in (plugin);Расширение, дополнительный программный модуль
Freeware;Бесплатное программное обеспечение
Runtime;Среда выполнения кода
To boot;Загружать, загружаться (например, об устройстве или операционной системе)
To format; Форматировать
To initialize;Приводить в исходное состояние, инициализировать
Array;Массив
чбб;тревогаа
iytyju;lkjhg
ааааа;ааааа
